date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:28	1110/1110	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jun%202021%2014:01:25%20GMT	http://www.tkl-arch.com/robots.txt		(from )
22:01:28	7160/7160	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2014:01:26%20GMT	http://www.tkl-arch.com/	C:/My%20Websites/www.tkl-arch.com/index-2.html	(from )
22:01:29	1446/1446	---M-Z	200	added ('OK')	text/css	etag:%22b047dde9231d51:0%22	http://www.tkl-arch.com/css/dm-reset.css	C:/My%20Websites/www.tkl-arch.com/css/dm-reset.css	(from http://www.tkl-arch.com/)
22:01:29	21573/21573	---M-Z	200	added ('OK')	text/css	etag:%22d6f4dce4231d51:0%22	http://www.tkl-arch.com/css/dm-layout.css	C:/My%20Websites/www.tkl-arch.com/css/dm-layout.css	(from http://www.tkl-arch.com/)
22:01:29	9782/9782	---M-Z	200	added ('OK')	text/css	etag:%224c711ce6231d51:0%22	http://www.tkl-arch.com/css/dm-main.css	C:/My%20Websites/www.tkl-arch.com/css/dm-main.css	(from http://www.tkl-arch.com/)
22:01:30	4875/4875	---M-Z	200	added ('OK')	text/css	etag:%2273a496e8231d51:0%22	http://www.tkl-arch.com/css/dm-pages.css	C:/My%20Websites/www.tkl-arch.com/css/dm-pages.css	(from http://www.tkl-arch.com/)
22:01:30	11145/11145	---M-Z	200	added ('OK')	text/css	etag:%2267ff17eb231d51:0%22	http://www.tkl-arch.com/css/dm-widget.css	C:/My%20Websites/www.tkl-arch.com/css/dm-widget.css	(from http://www.tkl-arch.com/)
22:01:30	7141/7141	---M-Z	200	added ('OK')	text/css	etag:%22504aef6231d51:0%22	http://www.tkl-arch.com/css/uc/dm-dialog.css	C:/My%20Websites/www.tkl-arch.com/css/uc/dm-dialog.css	(from http://www.tkl-arch.com/)
22:01:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Websites/www.tkl-arch.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.tkl-arch.com/)
22:01:31	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22d1db99cb4e2d31:0%22	http://www.tkl-arch.com/images/favicon.ico	C:/My%20Websites/www.tkl-arch.com/images/favicon.ico	(from http://www.tkl-arch.com/)
